业务ID,L1模块,L2主题,L3核心概念,L4原子知识点,知识本体类型,前置依赖节点,纵向前置节点,默认分册,教材版本,年级,学期,单元序号,单元名称,小节序号,小节名称,认知共生节点,建议SOLO上限,常见错误模式
KP-0014,数与代数,整数认识与加减法(20以内),6~10的认识,6~10的基数意义,表征-基序数,KP-0004,KP-0003,一上,L1,,,,,,,,L1,域1:分不清'第3个'(序数)和'3个'(基数)
KP-0015,数与代数,整数认识与加减法(20以内),6~10的认识,6~10的序数意义,表征-基序数,KP-0014,KP-0004,一上,L1,,,,,,,,L1,域1:分不清'第3个'(序数)和'3个'(基数)
KP-0016,数与代数,整数认识与加减法(20以内),6~10的认识,6~10的读写,概念-读写,KP-0014,KP-0005,一上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0017,数与代数,整数认识与加减法(20以内),6~10的比大小,6~10的比大小,概念-比较,KP-0006,KP-0006,一上,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0018,数与代数,整数认识与加减法(20以内),分与合,6~10的分与合,关系-分与合,KP-0007,KP-0007,一上,L2,,,,,,,,L2,
KP-0019,数与代数,整数认识与加减法(20以内),10以内的加法,6~10的加法(和在10以内),算法-不进位,KP-0018,,一上,L1,,,,,,,,L1,
KP-0020,数与代数,整数认识与加减法(20以内),10以内的减法,6~10的减法(被减数在10以内),算法-不退位,KP-0018,,一上,L1,,,,,,,,L1,
KP-0021,数与代数,整数认识与加减法(20以内),连加连减,10以内的连加,算法-不进位,KP-0019,,一上,L1,,,,,,,,L1,
KP-0022,数与代数,整数认识与加减法(20以内),连加连减,10以内的连减,算法-不退位,KP-0020,,一上,L1,,,,,,,,L1,
KP-0023,数与代数,整数认识与加减法(20以内),加减混合,10以内的加减混合,算法-不进位,KP-0021|KP-0022,,一上,L1,,,,,,,,L1,
KP-0024,数与代数,整数认识与加减法(20以内),11~20的认识,11~20的组成,概念-组成,KP-0018,KP-0018,一上,L1,,,,,,,,L1,
KP-0025,数与代数,整数认识与加减法(20以内),11~20的认识,11~20的读写,概念-读写,KP-0024,KP-0016,一上,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0026,数与代数,整数认识与加减法(20以内),11~20的比大小,11~20的比大小,概念-比较,KP-0025,KP-0017,一上,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0027,数与代数,整数认识与加减法(20以内),10加几及相应的减法,10加几(不进位),算法-不进位,KP-0024,,一上,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0028,数与代数,整数认识与加减法(20以内),10加几及相应的减法,十几加几(不进位),算法-不进位,KP-0027,,一上,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0029,数与代数,整数认识与加减法(20以内),10加几及相应的减法,十几减几(不退位),算法-不退位,KP-0028,,一上,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0030,数与代数,整数认识与加减法(20以内),10加几及相应的减法,十几减十,算法-不退位,KP-0024,,一上,L1,,,,,,,,L1,
KP-0031,数与代数,整数认识与加减法(20以内),凑十法,凑十法的算理(十进制凑整原理),概念-意义,KP-0024,,一上,L2,,,,,,,,L2,
KP-0032,数与代数,整数认识与加减法(20以内),凑十法,凑十法的算法(拆小数凑大数),算法-不进位,KP-0031,,一上,L1,,,,,,,,L1,
KP-0033,数与代数,整数认识与加减法(20以内),凑十法,凑十法的算法(拆大数凑小数),算法-不进位,KP-0031,,一上,L1,,,,,,,,L1,
KP-0034,数与代数,整数认识与加减法(20以内),20以内进位加法,9加几,算法-进位,KP-0032,,一上,L1,,,,,,,,L1,
KP-0035,数与代数,整数认识与加减法(20以内),20以内进位加法,8/7/6加几,算法-进位,KP-0032,,一上,L1,,,,,,,,L1,
KP-0036,数与代数,整数认识与加减法(20以内),20以内进位加法,5/4/3/2加几,算法-进位,KP-0033,,一上,L1,,,,,,,,L1,
KP-0037,数与代数,整数认识与加减法(20以内),破十法,破十法的算理(退位的数学本质),概念-意义,KP-0024,,一下,L2,,,,,,,,L2,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0038,数与代数,整数认识与加减法(20以内),破十法,破十法的算法(退一当十再减),算法-不进位,KP-0037,,一下,L1,,,,,,,,L1,
KP-0039,数与代数,整数认识与加减法(20以内),平十法,平十法的算理(连减转化原理),概念-意义,KP-0024,,一下,L2,,,,,,,,L2,
KP-0040,数与代数,整数认识与加减法(20以内),平十法,平十法的算法(先减到整十再减),算法-不进位,KP-0039,,一下,L1,,,,,,,,L1,
KP-0041,数与代数,整数认识与加减法(20以内),20以内退位减法,十几减9,算法-退位,KP-0038,,一下,L1,,,,,,,,L1,
KP-0042,数与代数,整数认识与加减法(20以内),20以内退位减法,十几减8/7/6,算法-退位,KP-0038,,一下,L1,,,,,,,,L1,
KP-0043,数与代数,整数认识与加减法(20以内),20以内退位减法,十几减5/4/3/2,算法-退位,KP-0038,,一下,L1,,,,,,,,L1,
KP-0044,数与代数,整数认识与加减法(20以内),加减法简单应用模型,合并模型(求总数),实践-应用模型,KP-0019,,一下,L3,,,,,,,,L3,
KP-0045,数与代数,整数认识与加减法(20以内),加减法简单应用模型,去掉模型(求剩余),实践-应用模型,KP-0020,,一下,L3,,,,,,,,L3,
KP-0046,数与代数,整数认识与加减法(20以内),加减法简单应用模型,比多比少模型(初步),实践-应用模型,KP-0044,,一下,L3,,,,,,,,L3,E8:'比8多5的数'→3(看到比就减)
KP-0047,数与代数,整数认识与加减法(100以内),100以内数的认识,100以内数的数法,表征-基序数,KP-0024,,一下,L1,,,,,,,,L1,
KP-0048,数与代数,整数认识与加减法(100以内),100以内数的认识,100以内数的组成,概念-组成,KP-0047,KP-0024,一下,L1,,,,,,,,L1,
KP-0049,数与代数,整数认识与加减法(100以内),100以内数的认识,100以内数的读写,概念-读写,KP-0048,KP-0025,一下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0050,数与代数,整数认识与加减法(100以内),100以内数的比大小,100以内数的比大小,概念-比较,KP-0049,KP-0026,一下,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0051,数与代数,整数认识与加减法(100以内),整十数加减法,整十数加整十数(不进位),算法-不进位,KP-0048,,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0052,数与代数,整数认识与加减法(100以内),整十数加减法,整十数加整十数(进位),算法-进位,KP-0051,,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0053,数与代数,整数认识与加减法(100以内),整十数加减法,整十数减整十数(不退位),算法-不退位,KP-0051,,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0054,数与代数,整数认识与加减法(100以内),整十数加减法,整十数减整十数(退位),算法-退位,KP-0053,,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0055,数与代数,整数认识与加减法(100以内),两位数加一位数/整十数,两位数加整十数(不进位),算法-不进位,KP-0051,,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0056,数与代数,整数认识与加减法(100以内),两位数加一位数/整十数,两位数加一位数(不进位),算法-不进位,KP-0051,KP-0036,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0057,数与代数,整数认识与加减法(100以内),两位数加一位数/整十数,两位数加一位数(进位),算法-进位,KP-0056|KP-0031,KP-0034,一下,L1,,,,,,,,L1,E1:45+8=413(把4/5/8当独立数字拼接)
KP-0058,数与代数,整数认识与加减法(100以内),两位数减一位数/整十数,两位数减整十数(不退位),算法-不退位,KP-0053,,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0059,数与代数,整数认识与加减法(100以内),两位数减一位数/整十数,两位数减一位数(不退位),算法-不退位,KP-0053,KP-0043,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0060,数与代数,整数认识与加减法(100以内),两位数减一位数/整十数,两位数减一位数(退位),算法-退位,KP-0059|KP-0037,KP-0041,一下,L1,,,,,,,,L1,"E14:33-16=23(十位3-1=2/个位6-3=3拼接,大减小泛化)"
KP-0061,图形与几何,立体图形的初步认识,认识立体图形,长方体的直观特征,概念-认识,,,一上,L1,,,,,,,,L1,
KP-0062,图形与几何,立体图形的初步认识,认识立体图形,正方体的直观特征,概念-认识,,,一上,L1,,,,,,,,L1,
KP-0063,图形与几何,立体图形的初步认识,认识立体图形,圆柱的直观特征,概念-认识,,,一上,L1,,,,,,,,L1,域4:半径/直径混淆/圆周率意义不清
KP-0064,图形与几何,立体图形的初步认识,认识立体图形,球的直观特征,概念-认识,,,一上,L1,,,,,,,,L1,
KP-0065,图形与几何,平面图形的初步认识,认识平面图形,长方形的直观特征,概念-认识,,,一下,L1,,,,,,,,L1,
KP-0066,图形与几何,平面图形的初步认识,认识平面图形,正方形的直观特征,概念-认识,,,一下,L1,,,,,,,,L1,
KP-0067,图形与几何,平面图形的初步认识,认识平面图形,三角形的直观特征,概念-认识,,,一下,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0068,图形与几何,平面图形的初步认识,认识平面图形,圆的直观特征,概念-认识,,,一下,L1,,,,,,,,L1,域4:半径/直径混淆/圆周率意义不清
KP-0069,图形与几何,平面图形的初步认识,认识平面图形,平行四边形的直观特征,概念-认识,,,一下,L1,,,,,,,,L1,
KP-0070,图形与几何,图形的拼组,平面图形的拼组,用相同平面图形拼组,实践-构图,KP-0065|KP-0066|KP-0067|KP-0069,,一下,L2,,,,,,,,L2,
KP-0071,图形与几何,图形的拼组,立体图形的拼组,用相同立体图形拼组,实践-构图,KP-0061|KP-0062,,一下,L2,,,,,,,,L2,
KP-0072,数与代数,整数加减法(100以内进阶),两位数加两位数,两位数加两位数(不进位),算法-不进位,KP-0056,,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0073,数与代数,整数加减法(100以内进阶),两位数加两位数,两位数加两位数(进位),算法-进位,KP-0057,KP-0057,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0074,数与代数,整数加减法(100以内进阶),两位数减两位数,两位数减两位数(不退位),算法-不退位,KP-0059,,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0075,数与代数,整数加减法(100以内进阶),两位数减两位数,两位数减两位数(退位),算法-退位,KP-0060,KP-0060,一下,L1,,,,,,,,L1,E7:42-18=36(个位不够减时反向减8-2=6)
KP-0076,数与代数,整数加减法(100以内进阶),加减法的验算,加法的验算(交换加数/用减法验算),算法-不进位,KP-0073,,一下,L1,,,,,,,,L1,域2:验算时只用原方法重算而非逆运算验证
KP-0077,数与代数,整数加减法(100以内进阶),加减法的验算,减法的验算(用加法验算),算法-不进位,KP-0075,,一下,L1,,,,,,,,L1,域2:验算时只用原方法重算而非逆运算验证
KP-0078,数与代数,整数加减法(100以内进阶),连加连减与混合,100以内的连加计算(不连续进位),算法-不进位,KP-0073,KP-0073,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0079,数与代数,整数加减法(100以内进阶),连加连减与混合,100以内的连加计算(连续进位),算法-连续进位,KP-0078,KP-0073,一下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0080,数与代数,整数加减法(100以内进阶),连加连减与混合,100以内的连减计算(不连续退位),算法-不退位,KP-0075,KP-0075,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0081,数与代数,整数加减法(100以内进阶),连加连减与混合,100以内的连减计算(连续退位),算法-连续退位,KP-0080,KP-0075,一下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0082,数与代数,整数加减法(100以内进阶),连加连减与混合,100以内的加减混合计算,算法-不进位,KP-0078,,一下,L1,,,,,,,,L1,
KP-0083,数与代数,整数加减法(100以内进阶),加减法应用模型(进阶),比多比少问题(求大数),实践-应用模型,KP-0044,,一下,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0084,数与代数,整数加减法(100以内进阶),加减法应用模型(进阶),比多比少问题(求小数),实践-应用模型,KP-0045,,一下,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0085,数与代数,整数加减法(100以内进阶),加减法应用模型(进阶),比多比少问题(求相差数),实践-应用模型,KP-0045,,一下,L3,,,,,,,,L3,域3:比与比值混淆/化简比和求比值不分
KP-0086,数与代数,表内乘法,乘法的初步认识,乘法的意义(相同加数连加的简便运算),概念-意义,,,二上,L2,,,,,,,,L2,
KP-0087,数与代数,表内乘法,乘法的初步认识,乘法算式的各部分名称,概念-认识,KP-0086,,二上,L1,,,,,,,,L1,
KP-0088,数与代数,表内乘法,乘法口诀,1~5的乘法口诀,算法-不进位,KP-0087,,二上,L1,,,,,,,,L1,域2:检索失败(邻项干扰)/序列依赖(必须从头背)
KP-0089,数与代数,表内乘法,乘法口诀,6~9的乘法口诀,算法-不进位,KP-0088,,二上,L1,,,,,,,,L1,域2:检索失败(邻项干扰)/序列依赖(必须从头背)
KP-0090,数与代数,表内乘法,乘法口诀,乘加乘减混合计算,算法-不进位,KP-0089,,二上,L1,,,,,,,,L1,
KP-0091,数与代数,表内除法,除法的初步认识,平均分的意义(等分除),概念-意义,KP-0086,,二上,L2,,,,,,,,L2,
KP-0092,数与代数,表内除法,除法的初步认识,平均分的意义(包含除),概念-意义,KP-0091,,二上,L2,,,,,,,,L2,
KP-0093,数与代数,表内除法,除法的初步认识,除法算式的各部分名称,概念-认识,KP-0091,,二上,L1,,,,,,,,L1,
KP-0094,数与代数,表内除法,用乘法口诀求商,用1~6的乘法口诀求商,算法-不进位,KP-0088,,二上,L1,,,,,,,,L1,域2:检索失败(邻项干扰)/序列依赖(必须从头背)
KP-0095,数与代数,表内除法,用乘法口诀求商,用7~9的乘法口诀求商,算法-不进位,KP-0089,,二上,L1,,,,,,,,L1,域2:检索失败(邻项干扰)/序列依赖(必须从头背)
KP-0096,数与代数,整数四则混合运算(初步),同级运算,只含加减法的混合运算,算法-不进位,KP-0082,,三上,L1,,,,,,,,L1,
KP-0097,数与代数,整数四则混合运算(初步),同级运算,只含乘除法的混合运算,算法-不进位,KP-0095,,三上,L1,,,,,,,,L1,
KP-0098,数与代数,整数四则混合运算(初步),两级运算,含乘法和加减法的混合运算,算法-不进位,KP-0096,,三上,L1,,,,,,,,L1,
KP-0099,数与代数,整数四则混合运算(初步),两级运算,含除法和加减法的混合运算,算法-不进位,KP-0097,,三上,L1,,,,,,,,L1,
KP-0100,数与代数,整数四则混合运算(初步),带括号的运算,含小括号的混合运算,算法-不进位,KP-0098,,三上,L1,,,,,,,,L1,
KP-0101,数与代数,有余数的除法,有余数除法的意义,余数的产生与意义,概念-意义,KP-0095,,二下,L2,,,,,,,,L2,
KP-0102,数与代数,有余数的除法,有余数除法的意义,余数与除数的关系,算法-进位,KP-0101,,二下,L1,,,,,,,,L1,
KP-0103,数与代数,有余数的除法,有余数除法的计算,整除的竖式计算,算法-不进位,KP-0102,KP-0095,二下,L1,,,,,,,,L1,
KP-0104,数与代数,有余数的除法,有余数除法的计算,有余数除法的竖式计算,算法-进位,KP-0103,,二下,L1,,,,,,,,L1,域2:余数>除数不自知/有余数=认为自己错了
KP-0105,数与代数,整数认识(万以内),千以内数的认识,千以内数的组成,概念-组成,KP-0048,KP-0048,二下,L1,,,,,,,,L1,
KP-0106,数与代数,整数认识(万以内),千以内数的认识,千以内数的读写,概念-读写,KP-0105,KP-0049,二下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0107,数与代数,整数认识(万以内),千以内数的认识,千以内数中间有0的读写,概念-读写,KP-0106,KP-0106,二下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0108,数与代数,整数认识(万以内),万以内数的认识,万以内数的组成,概念-组成,KP-0105,KP-0105,二下,L1,,,,,,,,L1,
KP-0109,数与代数,整数认识(万以内),万以内数的认识,万以内数的读写,概念-读写,KP-0108,KP-0106,二下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0110,数与代数,整数认识(万以内),万以内数的认识,万以内数中间有0的读写,概念-读写,KP-0109,KP-0107,二下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0111,数与代数,整数认识(万以内),万以内数的认识,万以内数末尾有0的读写,概念-读写,KP-0110,KP-0109,二下,L1,,,,,,,,L1,域1:数字镜像反转(3写反/6和9混淆)
KP-0112,数与代数,整数认识(万以内),万以内数的比大小,万以内数的比大小,概念-比较,KP-0108,KP-0050,二下,L1,,,,,,,,L1,域3:比与比值混淆/化简比和求比值不分
KP-0113,数与代数,整数认识(万以内),近似数,万以内数的近似数,算法-近似数,KP-0112,,二下,L1,,,,,,,,L1,
KP-0114,数与代数,整数认识(万以内),整百整千数加减法,整百整千数加法(不进位),算法-不进位,KP-0105,KP-0072,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0115,数与代数,整数认识(万以内),整百整千数加减法,整百整千数减法(不退位),算法-不退位,KP-0114,KP-0074,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0116,数与代数,整数认识(万以内),整百整千数加减法,整百整千数加法(进位),算法-进位,KP-0114,KP-0073,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0117,数与代数,整数认识(万以内),整百整千数加减法,整百整千数减法(退位),算法-退位,KP-0116,KP-0075,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0118,图形与几何,常见的量(长度),长度单位的认识,厘米的认识,概念-认识,,,二上,L1,,,,,,,,L1,
KP-0119,图形与几何,常见的量(长度),长度单位的认识,米的认识,概念-认识,KP-0118,,二上,L1,,,,,,,,L1,
KP-0120,图形与几何,常见的量(长度),长度单位的换算,米与厘米的进率(1米=100厘米),算法-单位换算,KP-0119,,二上,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0121,图形与几何,常见的量(长度),线段的认识,线段的直观特征,概念-认识,KP-0118,,二上,L1,,,,,,,,L1,
KP-0122,图形与几何,常见的量(长度),线段的认识,线段公理(两点之间线段最短),概念-定理,KP-0121,,二上,L3,,,,,,,,L3,
KP-0123,图形与几何,平面图形的认识(角),角的初步认识,角的直观特征与各部分名称,概念-认识,,,三上,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0124,图形与几何,平面图形的认识(角),角的分类(初步),直角的认识与判断,概念-认识,KP-0123,,三上,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0125,图形与几何,平面图形的认识(角),角的分类(初步),锐角的认识与判断,概念-认识,KP-0124,,三上,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0126,图形与几何,平面图形的认识(角),角的分类(初步),钝角的认识与判断,概念-认识,KP-0124,,三上,L1,,,,,,,,L1,域4:量角器内圈外圈读错/锐角钝角判断错
KP-0127,图形与几何,常见的量(质量),质量单位的认识,克的认识,概念-认识,,,三上,L1,,,,,,,,L1,
KP-0128,图形与几何,常见的量(质量),质量单位的认识,千克的认识,概念-认识,KP-0127,,三上,L1,,,,,,,,L1,
KP-0129,图形与几何,常见的量(质量),质量单位的换算,千克与克的进率(1千克=1000克),算法-单位换算,KP-0128,KP-0120,三上,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0130,图形与几何,图形的运动(初步),轴对称图形,轴对称图形的直观特征,概念-认识,,,二下,L1,,,,,,,,L1,
KP-0131,图形与几何,图形的运动(初步),平移,平移的直观特征,概念-认识,,,二下,L1,,,,,,,,L1,域4:平移格数=端点间距而非对应点间距
KP-0132,图形与几何,图形的运动(初步),旋转,旋转的直观特征,概念-认识,,,五下,L1,,,,,,,,L1,域4:旋转方向和角度判断错误
KP-0133,图形与几何,常见的量(时间),时间单位的认识,秒的认识,概念-认识,,,二下,L1,,,,,,,,L1,
KP-0134,图形与几何,常见的量(时间),时间单位的换算,时与分的进率(1时=60分),算法-单位换算,KP-0467,KP-0129,二下,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0135,图形与几何,常见的量(时间),时间单位的换算,分与秒的进率(1分=60秒),算法-单位换算,KP-0133,,二下,L2,,,,,,,,L2,域3:单位进率记混(米/厘米=100但平方=10000)
KP-0136,图形与几何,常见的量(时间),时间的计算,计算经过的时间,算法-不进位,KP-0135,,二下,L1,,,,,,,,L1,域5:跨天/跨时段时间计算漏加
KP-0137,图形与几何,观察物体,观察物体(初步),辨认从不同位置观察简单物体的形状,实践-构图,,,三上,L2,,,,,,,,L2,
KP-0138,图形与几何,观察物体,观察物体(组合),辨认从不同方向观察组合几何体的形状,实践-构图,KP-0137,,三上,L2,,,,,,,,L2,
KP-0139,统计与概率,统计初步,分类与整理,按不同标准分类,概念-定义,,,二上,L2,,,,,,,,L2,
KP-0140,统计与概率,统计初步,复式统计表,复式统计表的结构与读取,概念-读写,KP-0139,,三下,L1,,,,,,,,L1,
KP-0141,综合与实践,数学广角,集合(容斥原理),集合的初步认识(韦恩图),表征-互化,KP-0139,,三上,L2,,,,,,,,L2,
KP-0142,数与代数,整数加减法(万以内),两位数加减法(口算),两位数加两位数(不进位口算),算法-不进位,KP-0073,KP-0072,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0143,数与代数,整数加减法(万以内),两位数加减法(口算),两位数加两位数(进位口算),算法-进位,KP-0142,KP-0073,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0144,数与代数,整数加减法(万以内),两位数加减法(口算),两位数减两位数(不退位口算),算法-不退位,KP-0075,KP-0074,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0145,数与代数,整数加减法(万以内),两位数加减法(口算),两位数减两位数(退位口算),算法-退位,KP-0144,KP-0075,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0146,数与代数,整数加减法(万以内),三位数加法(笔算),三位数加三位数(不进位),算法-不进位,KP-0048|KP-0072,KP-0072,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0147,数与代数,整数加减法(万以内),三位数加法(笔算),三位数加三位数(一次进位),算法-进位,KP-0146,KP-0073,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0148,数与代数,整数加减法(万以内),三位数加法(笔算),三位数加三位数(连续进位),算法-连续进位,KP-0147,KP-0147,二下,L1,,,,,,,,L1,域2:忘记加上进位的1(工作记忆过载)
KP-0149,数与代数,整数加减法(万以内),三位数加法(笔算),三位数加法(和超过1000),算法-连续进位,KP-0148,KP-0148,二下,L1,,,,,,,,L1,
KP-0150,数与代数,整数加减法(万以内),三位数减法(笔算),三位数减三位数(不退位),算法-不退位,KP-0074|KP-0105,KP-0074,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0151,数与代数,整数加减法(万以内),三位数减法(笔算),三位数减三位数(一次退位),算法-退位,KP-0150,KP-0075,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0152,数与代数,整数加减法(万以内),三位数减法(笔算),三位数减三位数(连续退位),算法-连续退位,KP-0151,KP-0151,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0153,数与代数,整数加减法(万以内),三位数减法(笔算),被减数中间有0的退位减法,算法-中间有0,KP-0152,KP-0152,二下,L1,,,,,,,,L1,E5:305-128=187(中间0借位后变9非10)
KP-0154,数与代数,整数加减法(万以内),三位数减法(笔算),被减数末尾有0的退位减法,算法-末尾有0,KP-0151,KP-0151,二下,L1,,,,,,,,L1,域2:个位不够减时反向减(大减小)/忘记借位后十位减1
KP-0155,数与代数,整数加减法(万以内),加减法估算,加减法估算(求近似值),算法-近似数,KP-0113,,二下,L1,,,,,,,,L1,域2:估算后不验证答案合理性
KP-0156,数与代数,整数加减法(万以内),加减法应用模型(万以内),和差问题,实践-应用模型,KP-0083,,二下,L3,,,,,,,,L3,域5:和差关系搞反(大数小数位置)
KP-0157,数与代数,倍的认识,倍的意义,倍的直观概念,概念-意义,KP-0092,,二下,L2,,,,,,,,L2,域5:倍与'多几倍'混淆
KP-0158,数与代数,倍的认识,求一个数是另一个数的几倍,求倍数关系(包含除模型),算法-不进位,KP-0157,,二下,L1,,,,,,,,L1,域5:倍与'多几倍'混淆
KP-0159,数与代数,倍的认识,求一个数的几倍是多少,求总数关系(乘法模型),算法-不进位,KP-0157,,二下,L1,,,,,,,,L1,
